Código AMIE|Nombre de la Institución Educativa|Código División Política Administrativa Provincia|Provincia|Código División Política Administrativa  Cantón|Cantón|Código División Política Administrativa  Parroquia|Parroquia|Código de Distrito|Sostenimiento|Tipo de Educación|Modalidad|Jornada|Acceso (terrestre/ aéreo/fluvial)|Número de estudiantes|Número de docentes
07H00408|BATALLON CAYAMBE NÚMERO 3|07|EL ORO|0702|ARENILLAS|070250|ARENILLAS|07D05|Fiscal|Educación regular|Presencial|Matutina|Terrestre|163|13
07H00419|CORAZON DE JESUS|07|EL ORO|0702|ARENILLAS|070250|ARENILLAS|07D05|Particular|Educación regular|Presencial|Vespertina|Terrestre|33|11
07H00404|ONCE DE NOVIEMBRE|07|EL ORO|0702|ARENILLAS|070250|ARENILLAS|07D05|Fiscal|Educación regular|Presencial|Matutina|Terrestre|325|19
07H00412|ASAAD BUCARAM|07|EL ORO|0702|ARENILLAS|070250|ARENILLAS|07D05|Fiscal|Educación regular|Presencial|Nocturna|Terrestre|118|20
07H01432|BIMOT 1  CONSTITUCIÓN|07|EL ORO|0702|ARENILLAS|070250|ARENILLAS|07D05|Fiscal|Popular Permanente|Presencial|Nocturna|Terrestre|18|1
07H01291|KLEBER TINOCO PINEDA|07|EL ORO|0702|ARENILLAS|070250|ARENILLAS|07D05|Fiscal|Educación Especial|Presencial y Semipresencial|Matutina y Vespertina|Terrestre|66|9
07H01305|LAS BRISAS|07|EL ORO|0702|ARENILLAS|070250|ARENILLAS|07D05|Fiscal|Educación regular|Presencial|Matutina|Terrestre|96|4
07H01306|CENTRO DE FORMACION ARTESANAL ARENILLAS|07|EL ORO|0702|ARENILLAS|070250|ARENILLAS|07D05|Fiscal|Popular Permanente|Presencial|Nocturna|Terrestre|301|17
07H01309|25 DE DICIEMBRE|07|EL ORO|0702|ARENILLAS|070250|ARENILLAS|07D05|Fiscal|Educación regular|Presencial|Matutina|Terrestre|54|3
07H00397|AMAZONAS|07|EL ORO|0702|ARENILLAS|070250|ARENILLAS|07D05|Fiscal|Educación regular|Presencial|Matutina|Terrestre|121|5
07H00400|CIUDAD DE ARENILLAS|07|EL ORO|0702|ARENILLAS|070250|ARENILLAS|07D05|Fiscal|Educación regular|Presencial|Matutina|Terrestre|465|15
07H00401|ALBERT EINSTEIN|07|EL ORO|0702|ARENILLAS|070250|ARENILLAS|07D05|Particular|Educación regular|Presencial|Matutina|Terrestre|138|14
07H00403|SANTO TOMAS DE AQUINO|07|EL ORO|0702|ARENILLAS|070250|ARENILLAS|07D05|Particular|Educación regular|Presencial|Matutina y Vespertina|Terrestre|229|20
07H00409|9 DE OCTUBRE|07|EL ORO|0702|ARENILLAS|070250|ARENILLAS|07D05|Fiscal|Educación regular|Presencial|Matutina|Terrestre|23|2
07H00411|ARENILLAS|07|EL ORO|0702|ARENILLAS|070250|ARENILLAS|07D05|Fiscal|Educación regular|Presencial|Matutina y Nocturna|Terrestre|1396|55
07H00413|BATALLON DE INFANTERIA N 38 AMBATO|07|EL ORO|0702|ARENILLAS|070250|ARENILLAS|07D05|Fiscal|Educación regular|Presencial|Matutina|Terrestre|21|1
07H00415|18 DE NOVIEMBRE|07|EL ORO|0702|ARENILLAS|070250|ARENILLAS|07D05|Fiscal|Educación regular|Presencial|Matutina|Terrestre|158|11
07H00416|JUAN MONTALVO|07|EL ORO|0702|ARENILLAS|070250|ARENILLAS|07D05|Fiscal|Educación regular|Presencial|Matutina|Terrestre|407|20
07H00417|CIUDAD DE QUITO|07|EL ORO|0702|ARENILLAS|070250|ARENILLAS|07D05|Fiscal|Educación regular|Presencial|Matutina|Terrestre|336|18
07H00418|ARISTIDES CORDOVA VILLACIS|07|EL ORO|0702|ARENILLAS|070250|ARENILLAS|07D05|Fiscal|Educación regular|Presencial|Matutina|Terrestre|41|5
07H00420|UNION Y  PROGRESO|07|EL ORO|0702|ARENILLAS|070250|ARENILLAS|07D05|Fiscal|Educación regular|Presencial|Matutina|Terrestre|4|1
07H00422|CRNL FELIX HUMBERTO PINEDA CORREA|07|EL ORO|0702|ARENILLAS|070250|ARENILLAS|07D05|Fiscal|Educación regular|Presencial|Matutina|Terrestre|109|6
07H00428|MONS LEONIDAS PROAÑO VILLALBA|07|EL ORO|0702|ARENILLAS|070250|ARENILLAS|07D05|Fiscal|Educación regular|Presencial|Matutina|Terrestre|151|6
07H00431|NAPOLEON PALADINES CARREÑO|07|EL ORO|0702|ARENILLAS|070250|ARENILLAS|07D05|Fiscal|Educación regular|Presencial|Matutina|Terrestre|45|5
07H00432|MAYOR HECTOR ESPINOZA|07|EL ORO|0702|ARENILLAS|070250|ARENILLAS|07D05|Fiscal|Educación regular|Presencial|Matutina|Terrestre|47|5
07H00436|CONSTITUCION|07|EL ORO|0702|ARENILLAS|070250|ARENILLAS|07D05|Fiscal|Educación regular|Presencial|Matutina|Terrestre|141|8
07H00437|ING. RAFAEL GUERRERO|07|EL ORO|0702|ARENILLAS|070250|ARENILLAS|07D05|Fiscal|Educación regular|Presencial|Matutina|Terrestre|12|2
07H00410|DR CAMILO GALLEGOS DOMINGUEZ|07|EL ORO|0702|ARENILLAS|070250|ARENILLAS|07D05|Fiscal|Educación regular|Presencial|Matutina y Vespertina|Terrestre|613|30
07H01424|TAHUIN CHICO|07|EL ORO|0702|ARENILLAS|070254|PALMALES|07D05|Fiscal|Popular Permanente|Presencial|Vespertina|Terrestre|11|1
07H00445|5 DE JUNIO|07|EL ORO|0702|ARENILLAS|070254|PALMALES|07D05|Fiscal|Educación regular|Presencial|Matutina|Terrestre|14|2
07H00440|RUMIÑAHUI|07|EL ORO|0702|ARENILLAS|070251|CHACRAS|07D05|Fiscal|Educación regular|Presencial|Matutina|Terrestre|120|12
07H00441|SOLDADO JOSE DIAZ|07|EL ORO|0702|ARENILLAS|070251|CHACRAS|07D05|Fiscal|Educación regular|Presencial|Matutina|Terrestre|187|10
07H00442|SIMON BOLIVAR|07|EL ORO|0702|ARENILLAS|070251|CHACRAS|07D05|Fiscal|Educación regular|Presencial|Matutina|Terrestre|46|3
07H00456|JOSE MARIA MEJIA LEQUERICA|07|EL ORO|0702|ARENILLAS|070254|PALMALES|07D05|Fiscal|Educación regular|Presencial|Matutina|Terrestre|315|18
07H00458|MAYOR GALO MOLINA|07|EL ORO|0702|ARENILLAS|070254|PALMALES|07D05|Fiscal|Educación regular|Presencial|Matutina|Terrestre|63|4
07H00462|MAYOR  MANUEL ANTONIO ROSERO|07|EL ORO|0702|ARENILLAS|070254|PALMALES|07D05|Fiscal|Educación regular|Presencial|Matutina|Terrestre|46|3
07H00464|ZOILA ESPERANZA CRESPO|07|EL ORO|0702|ARENILLAS|070255|CARCABON|07D05|Fiscal|Educación regular|Presencial|Matutina|Terrestre|29|4
07H00466|JESUS MARIA YEPEZ|07|EL ORO|0702|ARENILLAS|070255|CARCABON|07D05|Fiscal|Educación regular|Presencial|Matutina|Terrestre|48|5
07H00467|TENIENTE HUGO ORTIZ|07|EL ORO|0702|ARENILLAS|070255|CARCABON|07D05|Fiscal|Educación regular|Presencial|Matutina|Terrestre|11|1
07H00430|VICENTE ROCAFUERTE|07|EL ORO|0702|ARENILLAS|070254|PALMALES|07D05|Fiscal|Educación regular|Presencial|Matutina|Terrestre|14|1
